symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
BNII,2025-09-02,,,,,,,,,,,0,,,,,,,,
BNLI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BOAT,2025-09-02,,,,,,,,,,,0,,,,,,,,
BOBA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BOGA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BOLA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BOLT,2025-09-02,,,,,,,,,,,0,,,,,,,,
BOSS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BPFI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BPII,2025-09-02,,,,,,,,,,,0,,,,,,,,
BPTR,2025-09-02,,,,,,,,,,,0,,,,,,,,
BRAM,2025-09-02,,,,,,,,,,,0,,,,,,,,
BREN,2025-09-02,,,,,,,,,,,0,,,,,,,,
BRIS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BRMS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BRNA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BRPT,2025-09-02,,,,,,,,,,,0,,,,,,,,
BRRC,2025-09-02,,,,,,,,,,,0,,,,,,,,
BSBK,2025-09-02,,,,,,,,,,,0,,,,,,,,
BSDE,2025-09-02,,,,,,,,,,,0,,,,,,,,
BSIM,2025-09-02,,,,,,,,,,,0,,,,,,,,
BSML,2025-09-02,,,,,,,,,,,0,,,,,,,,
BSSR,2025-09-02,,,,,,,,,,,0,,,,,,,,
BSWD,2025-09-02,,,,,,,,,,,0,,,,,,,,
BTEK,2025-09-02,,,,,,,,,,,0,,,,,,,,
BTEL,2025-09-02,,,,,,,,,,,0,,,,,,,,
BTON,2025-09-02,,,,,,,,,,,0,,,,,,,,
BTPN,2025-09-02,,,,,,,,,,,0,,,,,,,,
BTPS,2025-09-02,,,,,,,,,,,0,,,,,,,,
BUAH,2025-09-02,,,,,,,,,,,0,,,,,,,,
BUDI,2025-09-02,,,,,,,,,,,0,,,,,,,,
BUKA,2025-09-02,,,,,,,,,,,0,,,,,,,,
BUKK,2025-09-02,,,,,,,,,,,0,,,,,,,,
BULL,2025-09-02,,,,,,,,,,,0,,,,,,,,
BUMI,2025-09-02,,,,,,,,,,,0,,,,,,,,
