broker_source_date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-09-03,DFAM,21787800,MG,0.2622492529229473,88170900,10,10,20,0.0
2025-09-03,DGIK,-9421700,MG,0.38843498972138013,190124400,10,10,20,0.0
2025-09-03,DGNS,21500,XC,0.4764912059774168,22702900,10,10,20,0.0
2025-09-03,DIGI,0,SQ,0.47191499937865045,7595000,10,4,14,0.0
2025-09-03,DILD,-28542900,XC,0.20920147244591653,98670000,10,10,20,0.0
2025-09-03,DIVA,15846200,CC,0.7351662322202537,148094900,10,10,20,0.0
2025-09-03,DKFT,1393213000,SQ,0.4250143467433921,9088780500,10,10,20,0.0
2025-09-03,DLTA,0,KK,0.35615535060647385,39698500,10,4,14,0.0
2025-09-03,DMAS,-147655300,CC,0.2245187267930991,374215600,10,10,20,0.0
2025-09-03,DMMX,-109800,NI,0.43449636568676697,88924200,10,10,20,0.0
2025-09-03,DMND,0,OD,0.41319175866676044,5876000,9,3,12,0.0
2025-09-03,DNAR,909100,XL,0.29434092293512015,55181800,10,10,20,0.0
2025-09-03,DNET,-40000,CC,0.43633014828250344,116672500,10,7,17,0.0
2025-09-03,DOID,-621749800,YP,0.24125358549289816,2185231600,10,10,20,0.0
2025-09-03,DOOH,2726700,AZ,0.3422188377964269,806139900,10,10,20,0.0
2025-09-03,DOSS,-32300,XL,0.7045005134158105,95160900,10,10,20,0.0
2025-09-03,DPNS,0,PD,0.4780518878851054,3302000,6,4,10,0.0
2025-09-03,DPUM,-1699400,BQ,0.29977572087110893,41034200,10,10,20,0.0
2025-09-03,DRMA,-8598000,BK,0.3363359084641224,139273000,10,10,20,0.0
2025-09-03,DSFI,1776100,RG,0.26707317475268255,24300000,10,10,20,0.0
2025-09-03,DSNG,947298000,BK,0.2791680615771037,7817291000,10,10,20,0.0
2025-09-03,DSSA,-2283877500,AK,0.3636512013991909,216772047500,10,10,20,0.0
2025-09-03,DUTI,-675000,XC,0.5006076015629382,26777000,10,5,15,0.0
2025-09-03,DVLA,-41984000,CC,0.5702378305054593,512860500,10,3,13,0.0
2025-09-03,DWGL,0,KK,0.5189947297356157,11915600,9,6,15,0.0
2025-09-03,DYAN,20700,XA,0.3513705862458596,40830000,10,10,20,0.0
2025-09-03,EAST,-6942300,KK,0.8137983427545123,622480700,10,7,17,0.0
2025-09-03,ECII,-570000,FS,0.5164709769941871,63456000,10,8,18,0.0
2025-09-03,EDGE,0,CC,0.3068442982865898,16422000,10,7,17,0.0
2025-09-03,EKAD,0,CC,0.5047121020572348,878300,8,6,14,0.0
2025-09-03,ELIT,-16501400,NI,0.32089686059075295,218143600,10,10,20,0.0
2025-09-03,ELPI,-13242800,CP,0.6350325289705593,321762600,10,10,20,0.0
2025-09-03,ELSA,-158412300,TP,0.20502786322920724,964858500,10,10,20,0.0
2025-09-03,ELTY,-218910600,EP,0.20363808254597435,321805800,10,6,16,0.0
2025-09-03,EMDE,-295700,XL,0.21648428607826042,16908700,10,5,15,0.0
2025-09-03,EMTK,928158000,AZ,0.6233119638002729,33073251000,10,10,20,0.0
2025-09-03,ENAK,-6095500,RG,0.34407438034513527,126490000,10,10,20,0.0
2025-09-03,ENRG,4526221000,BK,0.2666227841917966,10824712000,10,10,20,0.0
2025-09-03,ENZO,-18600,YB,0.35108947946092806,3902500,10,4,14,0.0
2025-09-03,EPAC,3188400,XL,0.3423560204128649,121855600,10,10,20,0.0
2025-09-03,EPMT,0,GR,0.5658462615187215,4851000,4,3,7,0.0
2025-09-03,ERAA,-1648912600,YP,0.20069349231998834,2796150000,10,10,20,0.0
2025-09-03,ERAL,-13707000,YP,0.26977799874152536,395468000,10,10,20,0.0
2025-09-03,ERTX,133400,YP,0.4663996474471171,29845100,7,10,17,0.0
2025-09-03,ESIP,-107800,DH,0.5510489063232848,15508500,10,3,13,0.0
2025-09-03,ESSA,1518182000,BB,0.4616351096014628,6181100000,10,10,20,0.0
2025-09-03,ESTA,11070700,XL,0.4083716432165476,190613100,10,10,20,0.0
2025-09-03,ESTI,-5400,KK,0.47961325960047824,38950400,10,7,17,0.0
2025-09-03,EURO,0,II,0.9501750007249187,176949000,8,5,13,0.0
2025-09-03,EXCL,-228569000,YP,0.25545427501647205,1063098000,10,10,20,0.0
2025-09-03,FAPA,0,SQ,0.7993313731018649,49612500,6,2,8,0.0
2025-09-03,FAST,-10053800,YP,0.2512484497922012,42463400,10,10,20,0.0
2025-09-03,FILM,1859351000,CC,0.3562688330442633,3092256000,10,10,20,0.0
2025-09-03,FIRE,-35009800,YP,0.401562136475358,419243600,10,10,20,0.0
2025-09-03,FITT,54428000,YP,0.22576604073765724,126693400,9,10,19,0.0
2025-09-03,FMII,0,NI,0.33005547150781644,523600,4,4,8,0.0
2025-09-03,FOLK,0,YP,0.501018237180947,7700500,9,6,15,0.0
2025-09-03,FOOD,0,LG,1.0,5900000,1,9,10,0.0
2025-09-03,FORU,1253000,CC,0.4186721704867523,84792000,7,10,17,0.0
