symbol,date,close,volume,ret_1,vol_ratio,ret_1_lag1,ret_1_lag2,ret_1_lag3,vol_ratio_lag1,vol_ratio_lag2,vol_ratio_lag3,is_price_lt_500,top_buyer,top_buyer_concentration,top_buyer_net_value,total_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio,price_source_date,broker_source_date,age_price_days,age_broker_days,is_market_closed
PGLI,2025-09-04,181.0,67200.0,0.016853932584269593,0.2928104575163399,,,,1.0,,,1,EP,0.7276468387579499,5057000.0,0.0,4.0,8.0,12.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PGUN,2025-09-04,3850.0,1230600.0,0.0,1.0,,,,1.0,,,0,,,,,,,,,2025-09-01,,3,,1
PICO,2025-09-04,142.0,1010800.0,-0.0273972602739726,1.2278165806255694,,,,1.0,,,1,KK,0.3328848232426487,21004300.0,-735000.0,10.0,5.0,15.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PIPA,2025-09-04,156.0,143728000.0,-0.10857142857142854,0.674027469827085,,,,1.0,,,1,XL,0.4840846287208662,2875029100.0,88049300.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PJAA,2025-09-04,498.0,128800.0,0.0,1.372402770378263,,,,1.0,,,1,YP,0.6374053162804945,16855100.0,0.0,8.0,7.0,15.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PKPK,2025-09-04,590.0,334600.0,0.0,1.3557536466774716,,,,1.0,,,0,PD,0.7247385728378822,110196500.0,0.0,9.0,7.0,16.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PLAN,2025-09-04,66.0,12692400.0,0.10000000000000009,1.0677681639795236,,,,1.0,,,1,XL,0.4903579248633644,227530000.0,-2501400.0,10.0,9.0,19.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PLAS,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PLIN,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PMJS,2025-09-04,118.0,241200.0,-0.008403361344537785,1.0751058613773123,,,,1.0,,,1,XC,0.5269129341537707,12887500.0,0.0,8.0,7.0,15.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PMMP,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PMUI,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PNBN,2025-09-04,1155.0,6807100.0,0.004347826086956497,1.1797809282817429,,,,1.0,,,0,DP,0.5938881373733536,2613545500.0,13327500.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PNBS,2025-09-04,57.0,50534000.0,-0.017241379310344862,0.4947307465065405,,,,1.0,,,1,GR,0.1988334217724154,165359000.0,-18471800.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PNGO,2025-09-04,2500.0,5300.0,-0.011857707509881465,0.53,,,,1.0,,,0,CC,0.8945511157239232,8619000.0,0.0,2.0,7.0,9.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PNIN,2025-09-04,845.0,445800.0,0.0,0.8258614301593182,,,,1.0,,,0,YP,0.4548988239224643,141605000.0,-1096500.0,10.0,6.0,16.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PNLF,2025-09-04,256.0,79211500.0,-0.007751937984496138,1.0430944857678437,,,,1.0,,,1,GR,0.2229617778280403,1766489600.0,-1216962400.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
PNSE,2025-09-04,835.0,110700.0,0.0121212121212122,0.24504703929164362,,,,1.0,,,0,XL,0.4719911755060668,23748000.0,-587500.0,10.0,4.0,14.0,0.0,2025-09-04,2025-09-04,0,0.0,0
POLA,2025-09-04,24.0,69236400.0,0.0,1.8499397482518978,,,,1.0,,,1,DR,0.2755500211225551,361485200.0,-77468200.0,10.0,4.0,14.0,0.0,2025-09-04,2025-09-04,0,0.0,0
POLI,2025-09-04,765.0,1100.0,-0.02547770700636942,1.6923076923076923,,,,1.0,,,0,CC,0.7994825355756792,309000.0,0.0,2.0,2.0,4.0,0.0,2025-09-04,2025-09-04,0,0.0,0
POLL,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
POLU,2025-09-04,8625.0,292100.0,0.19791666666666674,1.1043478260869566,,,,1.0,,,0,NI,0.4611758078026434,155535000.0,765000.0,10.0,10.0,20.0,0.0,2025-09-04,2025-09-04,0,0.0,0
POLY,2025-09-04,26.0,919100.0,0.08333333333333326,1.7619093261765553,,,,1.0,,,1,XL,0.6977486350841908,15195500.0,0.0,7.0,9.0,16.0,0.0,2025-09-04,2025-09-04,0,0.0,0
POOL,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
PORT,2025-09-04,915.0,106000.0,-0.005434782608695676,0.6495098039215687,,,,1.0,,,0,AI,0.9697087980836068,90676500.0,0.0,4.0,7.0,11.0,0.0,2025-09-04,2025-09-04,0,0.0,0
POSA,2025-09-04,,,,,,,,,,,0,,,,,,,,,2025-09-04,,0,,0
POWR,2025-09-04,705.0,2780200.0,-0.007042253521126751,1.1325104892256304,,,,1.0,,,0,XL,0.3013512833302064,329276000.0,-58284000.0,10.0,9.0,19.0,0.0,2025-09-04,2025-09-04,0,0.0,0
