date,symbol,total_net_value,top_buyer,top_buyer_concentration,top_buyer_net_value,num_buyers,num_sellers,num_brokers,retail_broker_ratio
2025-08-29,BTPN,0.0,KK,0.4826630778974034,6960000.0,8,4,12,0.4166666666666667
2025-08-29,BTPS,2804290000.0,ZP,0.8163225105071046,14770448000.0,10,10,20,0.25
2025-08-29,BUAH,3760000.0,YB,0.626728569413611,168582000.0,9,10,19,0.2631578947368421
2025-08-29,BUDI,0.0,CC,0.7682539682539683,976800.0,6,1,7,0.5714285714285714
2025-08-29,BUKA,-1151946100.0,BK,0.42157687008629724,3429530100.0,10,10,20,0.25
2025-08-29,BUKK,0.0,XL,0.8775325423609233,22200500.0,6,4,10,0.5
2025-08-29,BULL,-492241600.0,AK,0.5584988307856363,1295823300.0,10,10,20,0.2
2025-08-29,BUMI,-4388437200.0,CP,0.45415047436774864,9160872300.0,10,10,20,0.25
2025-08-29,BUVA,-6715430200.0,ES,0.4755619441321526,12280770000.0,10,10,20,0.2
2025-08-29,BVIC,-98688100.0,CC,0.4746030333749092,400803100.0,10,10,20,0.3
2025-08-29,BYAN,-20000.0,ZP,0.5878457271003095,179875000.0,10,9,19,0.2631578947368421
2025-08-29,CAKK,-157100.0,CC,0.7775314747274937,134456100.0,10,7,17,0.29411764705882354
2025-08-29,CAMP,-5448400.0,AH,0.4719902430539403,79380000.0,10,10,20,0.2
2025-08-29,CANI,0.0,PD,0.8973412112259971,5863000.0,8,7,15,0.3333333333333333
2025-08-29,CARE,12418000.0,BR,0.39291397976172837,427791200.0,10,10,20,0.1
2025-08-29,CARS,779846000.0,RF,0.6245935854247235,6685668100.0,10,10,20,0.25
2025-08-29,CASA,-86877500.0,LS,0.3790702251678304,212836000.0,10,10,20,0.1
2025-08-29,CASH,399200.0,NI,0.5631062868493016,53409700.0,10,10,20,0.25
2025-08-29,CASS,0.0,YU,0.732827062478426,19650000.0,8,6,14,0.21428571428571427
2025-08-29,CBPE,0.0,CP,0.9689671005350156,9157900.0,6,6,12,0.4166666666666667
2025-08-29,CBRE,153298800.0,CP,0.6630341197018523,1361433800.0,8,10,18,0.2222222222222222
2025-08-29,CBUT,0.0,XL,0.8907290378858718,64104500.0,9,8,17,0.29411764705882354
2025-08-29,CCSI,-1590200.0,LG,0.7120426896070493,171497600.0,10,10,20,0.25
2025-08-29,CEKA,-509000.0,NI,0.4605514853206917,32969000.0,10,4,14,0.35714285714285715
2025-08-29,CENT,7926600.0,GR,0.45203562086515336,249713600.0,10,10,20,0.2
2025-08-29,CFIN,-1529200.0,XL,0.5528026198154247,171272000.0,10,10,20,0.25
2025-08-29,CGAS,-47243000.0,CP,0.4470627137050167,315111400.0,10,10,20,0.25
2025-08-29,CHEM,26218400.0,EP,0.9699166230634484,636856400.0,10,10,20,0.2
2025-08-29,CHIP,0.0,CC,0.5032426830695171,15718500.0,6,5,11,0.2727272727272727
2025-08-29,CINT,12700.0,BR,0.7595631069926362,22647900.0,10,10,20,0.25
