symbol,date,close,volume,source_date
CYBR,2025-09-05,965.0,17960700.0,2025-09-04
DAAZ,2025-09-05,3140.0,85700.0,2025-09-04
DADA,2025-09-05,42.0,9294200.0,2025-09-04
DART,2025-09-05,164.0,45700.0,2025-09-04
DATA,2025-09-05,,,2025-09-05
DAYA,2025-09-05,1020.0,10000.0,2025-09-04
DCII,2025-09-05,325025.0,2300.0,2025-09-04
DEAL,2025-09-05,,,2025-09-05
DEFI,2025-09-05,398.0,80500.0,2025-09-04
DEPO,2025-09-05,200.0,1096000.0,2025-09-04
DEWA,2025-09-05,222.0,242474500.0,2025-09-04
DEWI,2025-09-05,110.0,45173700.0,2025-09-04
DFAM,2025-09-05,81.0,14485900.0,2025-09-04
DGIK,2025-09-05,95.0,6473600.0,2025-09-04
DGNS,2025-09-05,148.0,335600.0,2025-09-04
DGWG,2025-09-05,,,2025-09-05
DIGI,2025-09-05,31.0,3109700.0,2025-09-04
DILD,2025-09-05,138.0,7271600.0,2025-09-04
DIVA,2025-09-05,126.0,9524600.0,2025-09-04
DKFT,2025-09-05,710.0,87091200.0,2025-09-04
DKHH,2025-09-05,,,2025-09-05
DLTA,2025-09-05,1965.0,198900.0,2025-09-04
DMAS,2025-09-05,137.0,36933300.0,2025-09-04
DMMX,2025-09-05,360.0,10615500.0,2025-09-04
DMND,2025-09-05,570.0,41900.0,2025-09-04
DNAR,2025-09-05,120.0,2867300.0,2025-09-04
DNET,2025-09-05,9300.0,10500.0,2025-09-04
DOID,2025-09-05,360.0,41848300.0,2025-09-04
DOOH,2025-09-05,143.0,255117600.0,2025-09-04
DOSS,2025-09-05,140.0,1516800.0,2025-09-04
DPNS,2025-09-05,260.0,58200.0,2025-09-04
DPUM,2025-09-05,68.0,98809600.0,2025-09-04
DRMA,2025-09-05,985.0,1276000.0,2025-09-04
DSFI,2025-09-05,84.0,37719100.0,2025-09-04
DSNG,2025-09-05,1625.0,43266200.0,2025-09-04
DSSA,2025-09-05,106200.0,3785900.0,2025-09-04
DUCK,2025-09-05,,,2025-09-05
DUTI,2025-09-05,4250.0,59500.0,2025-09-04
DVLA,2025-09-05,1600.0,104100.0,2025-09-04
DWGL,2025-09-05,230.0,89700.0,2025-09-04
DYAN,2025-09-05,90.0,3542100.0,2025-09-04
EAST,2025-09-05,95.0,7009200.0,2025-09-04
ECII,2025-09-05,186.0,481400.0,2025-09-04
EDGE,2025-09-05,4250.0,15400.0,2025-09-04
EKAD,2025-09-05,187.0,124600.0,2025-09-04
ELIT,2025-09-05,188.0,11952300.0,2025-09-04
ELPI,2025-09-05,378.0,1558000.0,2025-09-04
ELSA,2025-09-05,498.0,10905400.0,2025-09-04
ELTY,2025-09-05,17.0,105106000.0,2025-09-04
EMDE,2025-09-05,97.0,4144100.0,2025-09-04
EMTK,2025-09-05,1305.0,101163600.0,2025-09-04
ENAK,2025-09-05,700.0,840700.0,2025-09-04
ENRG,2025-09-05,600.0,206748900.0,2025-09-04
ENVY,2025-09-05,,,2025-09-05
ENZO,2025-09-05,40.0,223100.0,2025-09-04
EPAC,2025-09-05,36.0,11136500.0,2025-09-04
EPMT,2025-09-05,2290.0,101700.0,2025-09-04
ERAA,2025-09-05,444.0,38250500.0,2025-09-04
ERAL,2025-09-05,324.0,8115800.0,2025-09-04
ERTX,2025-09-05,125.0,13163200.0,2025-09-04
ESIP,2025-09-05,50.0,648100.0,2025-09-04
ESSA,2025-09-05,605.0,106629600.0,2025-09-04
ESTA,2025-09-05,69.0,6548400.0,2025-09-04
ESTI,2025-09-05,54.0,602100.0,2025-09-04
ETWA,2025-09-05,,,2025-09-05
EURO,2025-09-05,256.0,44400.0,2025-09-04
EXCL,2025-09-05,2740.0,9286000.0,2025-09-04
FAPA,2025-09-05,5925.0,13500.0,2025-09-04
FAST,2025-09-05,336.0,1919500.0,2025-09-04
FASW,2025-09-05,,,2025-09-05
FILM,2025-09-05,3800.0,34699200.0,2025-09-04
FIMP,2025-09-05,,,2025-09-05
FIRE,2025-09-05,79.0,21448600.0,2025-09-04
FISH,2025-09-05,,,2025-09-05
FITT,2025-09-05,368.0,8252500.0,2025-09-04
FLMC,2025-09-05,195.0,2984800.0,2025-09-01
FMII,2025-09-05,356.0,38300.0,2025-09-04
FOLK,2025-09-05,76.0,2469800.0,2025-09-04
FOOD,2025-09-05,118.0,65500.0,2025-09-04
FORE,2025-09-05,,,2025-09-05
FORU,2025-09-05,1170.0,319200.0,2025-09-04
FPNI,2025-09-05,192.0,670200.0,2025-09-04
FUJI,2025-09-05,402.0,116348600.0,2025-09-04
FUTR,2025-09-05,260.0,361371700.0,2025-09-04
FWCT,2025-09-05,160.0,1195100.0,2025-09-04
GAMA,2025-09-05,,,2025-09-05
GDST,2025-09-05,109.0,243300.0,2025-09-04
GDYR,2025-09-05,1185.0,2300.0,2025-09-04
GEMA,2025-09-05,121.0,29706600.0,2025-09-04
GEMS,2025-09-05,9200.0,182500.0,2025-09-04
GGRM,2025-09-05,8800.0,1047100.0,2025-09-04
GGRP,2025-09-05,236.0,1978300.0,2025-09-04
GHON,2025-09-05,1685.0,9500.0,2025-09-04
GIAA,2025-09-05,69.0,20452100.0,2025-09-04
GJTL,2025-09-05,1030.0,3918400.0,2025-09-04
GLOB,2025-09-05,57.0,142600.0,2025-09-04
GLVA,2025-09-05,326.0,21600.0,2025-09-04
GMFI,2025-09-05,62.0,525700.0,2025-09-04
GMTD,2025-09-05,2260.0,200.0,2025-09-04
GOLD,2025-09-05,258.0,11300.0,2025-09-04
GOLF,2025-09-05,210.0,7261000.0,2025-09-04
GOLL,2025-09-05,,,2025-09-05
GOOD,2025-09-05,372.0,244700.0,2025-09-04
GOTO,2025-09-05,59.0,1621019900.0,2025-09-04
