symbol,date,close,volume
IPOL,2025-09-02,,
IPPE,2025-09-02,,
IPTV,2025-09-02,,
IRRA,2025-09-02,,
IRSX,2025-09-02,,
ISAP,2025-09-02,,
ISAT,2025-09-02,,
ISEA,2025-09-02,,
ISSP,2025-09-02,,
ITIC,2025-09-02,,
ITMA,2025-09-02,,
ITMG,2025-09-02,,
JARR,2025-09-02,,
JAST,2025-09-02,,
JATI,2025-09-02,,
JAWA,2025-09-02,,
JAYA,2025-09-02,,
JECC,2025-09-02,,
JGLE,2025-09-02,,
JIHD,2025-09-02,,
JKON,2025-09-02,,
JMAS,2025-09-02,,
JPFA,2025-09-02,,
JRPT,2025-09-02,,
JSKY,2025-09-02,,
JSMR,2025-09-02,,
JSPT,2025-09-02,,
JTPE,2025-09-02,,
KAEF,2025-09-02,,
KAQI,2025-09-02,,
KARW,2025-09-02,,
KAYU,2025-09-02,,
KBAG,2025-09-02,,
KBLI,2025-09-02,,
KBLM,2025-09-02,,
KBLV,2025-09-02,,
KBRI,2025-09-02,,
KDSI,2025-09-02,,
KDTN,2025-09-02,,
KEEN,2025-09-02,,
KEJU,2025-09-02,,
KETR,2025-09-02,,
KIAS,2025-09-02,,
KICI,2025-09-02,,
KIJA,2025-09-02,,
KING,2025-09-02,,
KINO,2025-09-02,,
KIOS,2025-09-02,,
KJEN,2025-09-02,,
KKES,2025-09-02,,
KKGI,2025-09-02,,
KLAS,2025-09-02,,
KLBF,2025-09-02,,
KLIN,2025-09-02,,
KMDS,2025-09-02,,
KMTR,2025-09-02,,
KOBX,2025-09-02,,
KOCI,2025-09-02,,
KOIN,2025-09-02,,
KOKA,2025-09-02,,
KONI,2025-09-02,,
KOPI,2025-09-02,,
KOTA,2025-09-02,,
KPIG,2025-09-02,,
KRAS,2025-09-02,,
KREN,2025-09-02,,
KRYA,2025-09-02,,
KSIX,2025-09-02,,
KUAS,2025-09-02,,
LABA,2025-09-02,,
LABS,2025-09-02,,
LAJU,2025-09-02,,
LAND,2025-09-02,,
LAPD,2025-09-02,,
LCGP,2025-09-02,,
LCKM,2025-09-02,,
LEAD,2025-09-02,,
LFLO,2025-09-02,,
LIFE,2025-09-02,,
LINK,2025-09-02,,
LION,2025-09-02,,
LIVE,2025-09-02,,
LMAS,2025-09-02,,
LMAX,2025-09-02,,
LMPI,2025-09-02,,
LMSH,2025-09-02,,
LOPI,2025-09-02,,
LPCK,2025-09-02,,
LPGI,2025-09-02,,
LPIN,2025-09-02,,
LPKR,2025-09-02,,
LPLI,2025-09-02,,
LPPF,2025-09-02,,
LPPS,2025-09-02,,
LRNA,2025-09-02,,
LSIP,2025-09-02,,
LTLS,2025-09-02,,
LUCK,2025-09-02,,
LUCY,2025-09-02,,
MABA,2025-09-02,,
MAGP,2025-09-02,,
MAHA,2025-09-02,,
MAIN,2025-09-02,,
MANG,2025-09-02,,
MAPA,2025-09-02,,
MAPB,2025-09-02,,
MAPI,2025-09-02,,
MARI,2025-09-02,,
MARK,2025-09-02,,
MASA,2025-09-02,,
MASB,2025-09-02,,
MAXI,2025-09-02,,
MAYA,2025-09-02,,
MBAP,2025-09-02,,
MBMA,2025-09-02,,
MBSS,2025-09-02,,
MBTO,2025-09-02,,
